THERMO                                                                          
   300.000  1500.000  5000.000                                                  
 2.96512799E-08-4.35761294E-12-2.18857007E+04 3.68374052E+01                   4
c9ooh_2c          0529  c   9h  19o   2    0G   300.000  5000.000 1395.000     1
 3.20094779E+01 4.65043799E-02-1.58182939E-05 2.44659459E-09-1.41569307E-13    2
-3.56545272E+04-1.43118042E+02-1.27702808E+00 1.21758228E-01-8.05181813E-05    3
 2.77013176E-08-3.92918149E-12-2.38038432E+04 3.66054630E+01                   4
c9ooh_2d          0529  c   9h  19o   2    0G   300.000  5000.000 1395.000     1
 3.20765739E+01 4.64679203E-02-1.58103281E-05 2.44583709E-09-1.41545046E-13    2
-3.65525383E+04-1.43670167E+02-1.60565269E+00 1.23071355E-01-8.22372048E-05    3
 2.86691667E-08-4.12871186E-12-2.46064204E+04 3.80287553E+01                   4
c9ooh_2e          0529  c   9h  19o   2    0G   300.000  5000.000 1395.000     1
 3.20311468E+01 4.65124293E-02-1.58268247E-05 2.44851796E-09-1.41705015E-13    2
-3.58058564E+04-1.42398432E+02-1.19166288E+00 1.21372276E-01-7.98771278E-05    3
 2.72887865E-08-3.83767053E-12-2.39529154E+04 3.70697232E+01                   4
c9ooh_2f          0529  c   9h  19o   2    0G   300.000  5000.000 1393.000     1
 3.18283089E+01 4.67774321E-02-1.59390132E-05 2.46821499E-09-1.42941019E-13    2
-3.68124192E+04-1.40521874E+02-8.76893559E-01 1.18480354E-01-7.47831979E-05    3
 2.39792227E-08-3.10101864E-12-2.49484833E+04 3.68508166E+01                   4
c9ooh_2g          0529  c   9h  19o   2    0G   300.000  5000.000 1395.000     1
 3.21733994E+01 4.63224430E-02-1.57458484E-05 2.43425854E-09-1.40808828E-13    2
-3.44422241E+04-1.43690946E+02-1.40992415E+00 1.23351507E-01-8.33458448E-05    3
 2.95313989E-08-4.33466207E-12-2.25955630E+04 3.72445316E+01                   4
c9ooh_3a          0529  c   9h  19o   2    0G   300.000  5000.000 1395.000     1
 3.19118727E+01 4.66450008E-02-1.58795977E-05 2.45749939E-09-1.42258419E-13    2
-3.23367701E+04-1.42719354E+02-1.88740621E+00 1.23062742E-01-8.15367517E-05    3
 2.80441507E-08-3.96926577E-12-2.03096481E+04 3.97616968E+01                   4
c9ooh_3b          0529  c   9h  19o   2    0G   300.000  5000.000 1392.000     1
 3.15919001E+01 4.70421880E-02-1.60448468E-05 2.48627426E-09-1.44055753E-13    2
-3.57103147E+04-1.40002344E+02-9.30566339E-01 1.16894835E-01-7.14539890E-05    3
 2.16799259E-08-2.57255973E-12-2.37748989E+04 3.68816181E+01                   4
c9ooh_3d          0529  c   9h  19o   2    0G   300.000  5000.000 1394.000     1
 3.18445177E+01 4.67365624E-02-1.59191178E-05 2.46452124E-09-1.42702629E-13    2
-3.37670494E+04-1.42496130E+02-1.49728511E+00 1.20878242E-01-7.80721579E-05    3
 2.58825010E-08-3.49786969E-12-2.17796863E+04 3.79537746E+01                   4
c9ooh_3e          0529  c   9h  19o   2    0G   300.000  5000.000 1394.000     1
 3.18520240E+01 4.67142499E-02-1.59078381E-05 2.46238274E-09-1.42562674E-13    2
-3.32317204E+04-1.41617476E+02-1.25149908E+00 1.20075154E-01-7.70724861E-05    3
 2.53232159E-08-3.38158666E-12-2.13066850E+04 3.76287966E+01                   4
c9ooh_3f          0529  c   9h  19o   2    0G   300.000  5000.000 1392.000     1
 3.16430802E+01 4.69917498E-02-1.60258673E-05 2.48314390E-09-1.43866593E-13    2
-3.43130115E+04-1.39413810E+02-9.92908813E-01 1.17430217E-01-7.23559519E-05    3
 2.22554415E-08-2.69978740E-12-2.23690892E+04 3.79680138E+01                   4
c9ooh_3g          0529  c   9h  19o   2    0G   300.000  5000.000 1395.000     1
 3.19426738E+01 4.65821290E-02-1.58499772E-05 2.45206415E-09-1.41909544E-13    2
-3.20336490E+04-1.43601394E+02-1.70798090E+00 1.22567905E-01-8.09830287E-05    3
 2.77413819E-08-3.90525287E-12-2.00535765E+04 3.81049368E+01                   4
c9ooh_4a          0529  c   9h  19o   2    0G   300.000  5000.000 1395.000     1
 3.20375993E+01 4.65028839E-02-1.58230041E-05 2.44789613E-09-1.41668707E-13    2
-3.31546140E+04-1.43215478E+02-1.79693479E+00 1.23206390E-01-8.19409480E-05    3
 2.83092310E-08-4.02481772E-12-2.11401348E+04 3.93751454E+01                   4
c9ooh_4b          0529  c   9h  19o   2    0G   300.000  5000.000 1393.000     1
 3.16436269E+01 4.69931102E-02-1.60267660E-05 2.48333112E-09-1.43879467E-13    2
-3.61304454E+04-1.40453695E+02-1.45249972E+00 1.19078729E-01-7.45097245E-05    3
 2.34702841E-08-2.94957383E-12-2.40852662E+04 3.91941508E+01                   4
c9ooh_4c          0529  c   9h  19o   2    0G   300.000  5000.000 1394.000     1
 3.18238019E+01 4.67253178E-02-1.59087531E-05 2.46221941E-09-1.42540654E-13    2
-3.42741144E+04-1.41193823E+02-1.45587808E+00 1.20860188E-01-7.82060803E-05    3
 2.60068183E-08-3.52832980E-12-2.23237451E+04 3.88705767E+01                   4
qo_11             0529  c   9h  18o   1    0G   300.000  5000.000 1392.000     1
 2.71993741E+01 4.59970140E-02-1.57558695E-05 2.44867997E-09-1.42172729E-13    2
-4.32236729E+04-1.23049464E+02-6.25920727E+00 1.16597530E-01-6.97359211E-05    3
 1.98664892E-08-2.06033032E-12-3.08611842E+04 5.93025688E+01                   4
qo_12             0529  c   9h  18o   1    0G   300.000  5000.000 1392.000     1
 2.77617968E+01 4.53690211E-02-1.55049529E-05 2.40585843E-09-1.39528785E-13    2
-4.61221565E+04-1.25773721E+02-4.64319850E+00 1.15318523E-01-7.13582716E-05    3
 2.19248144E-08-2.63976899E-12-3.42751068E+04 5.03302986E+01                   4
qo_13             0529  c   9h  18o   1    0G   300.000  5000.000 1392.000     1
 2.74155083E+01 4.57647799E-02-1.56645995E-05 2.43323912E-09-1.41224318E-13    2
-4.62049264E+04-1.24468835E+02-5.60804703E+00 1.15907987E-01-7.00093662E-05    3
 2.04265441E-08-2.23094392E-12-3.40378849E+04 5.53678046E+01                   4
qo_14             0529  c   9h  18o   1    0G   300.000  5000.000 1392.000     1
 2.72416538E+01 4.59173353E-02-1.57186572E-05 2.44185439E-09-1.41734010E-13    2
-5.50438970E+04-1.25150181E+02-6.35789703E+00 1.17742286E-01-7.19551910E-05    3
 2.13951327E-08-2.41487694E-12-4.27128927E+04 5.76566967E+01                   4
qo_15             0529  c   9h  18o   1    0G   300.000  5000.000 1392.000     1
 2.71401148E+01 4.60204778E-02-1.57581547E-05 2.44844200E-09-1.42135121E-13    2
-5.77712661E+04-1.27239841E+02-6.68715889E+00 1.18516905E-01-7.28109073E-05    3
