THERMO                                                                          
   300.000  1500.000  5000.000                                                  
C15H32    10/ 9/14 THERMC  15H  32    0    0G   300.000  5000.000 1393.000   141
 4.73285928E+01 6.81988044E-02-2.32846332E-05 3.61095957E-09-2.09345405E-13    2
-4.57541412E+04-2.16192238E+02-3.88211320E+00 1.81618762E-01-1.17633045E-04    3
 3.87253244E-08-5.15380118E-12-2.73186441E+04 6.10940315E+01                   4
C15H32    10/ 9/14 THERMC  15H  32    0    0G   300.000  5000.000 1393.000   141
 4.80563000E+01 7.04906133E-02-2.41498334E-05 3.75336207E-09-2.17921352E-13    2
-6.95349946E+04-2.23503014E+02-4.87112235E+00 1.90151987E-01-1.27393620E-04    3
 4.43967665E-08-6.40109909E-12-5.06540542E+04 6.23314537E+01                   4
C15H31_I  10/ 9/14 THERMC  15H  31    0    0G   300.000  5000.000 1391.000   141
 4.73285928E+01 6.81988044E-02-2.32846332E-05 3.61095957E-09-2.09345405E-13    2
-4.57541412E+04-2.16192238E+02-3.88211320E+00 1.81618762E-01-1.17633045E-04    3
 3.87253244E-08-5.15380118E-12-2.73186441E+04 6.10940315E+01                   4
C15H32    10/ 9/14 THERMC  15H  32    0    0G   300.000  5000.000 1393.000   141
 4.80563000E+01 7.04906133E-02-2.41498334E-05 3.75336207E-09-2.17921352E-13    2
-6.95349946E+04-2.23503014E+02-4.87112235E+00 1.90151987E-01-1.27393620E-04    3
 4.43967665E-08-6.40109909E-12-5.06540542E+04 6.23314537E+01                   4
C15H31_J  10/ 9/14 THERMC  15H  31    0    0G   300.000  5000.000 1391.000   141
 4.73285928E+01 6.81988044E-02-2.32846332E-05 3.61095957E-09-2.09345405E-13    2
-4.57541412E+04-2.16192238E+02-3.88211320E+00 1.81618762E-01-1.17633045E-04    3
 3.87253244E-08-5.15380118E-12-2.73186441E+04 6.10940315E+01                   4
C15H32    10/ 9/14 THERMC  15H  32    0    0G   300.000  5000.000 1393.000   141
 4.80563000E+01 7.04906133E-02-2.41498334E-05 3.75336207E-09-2.17921352E-13    2
-6.95349946E+04-2.23503014E+02-4.87112235E+00 1.90151987E-01-1.27393620E-04    3
 4.43967665E-08-6.40109909E-12-5.06540542E+04 6.23314537E+01                   4
C15H31_K  10/ 9/14 THERMC  15H  31    0    0G   300.000  5000.000 1389.000   141
 4.60743102E+01 6.96898192E-02-2.38869895E-05 3.71366849E-09-2.15662192E-13    2
-4.62600836E+04-2.08614659E+02-7.63450534E-01 1.68017709E-01-9.96139324E-05    3
 2.89585642E-08-3.24883423E-12-2.87661239E+04 4.70645513E+01                   4
C15H32    10/ 9/14 THERMC  15H  32    0    0G   300.000  5000.000 1393.000   141
 4.80563000E+01 7.04906133E-02-2.41498334E-05 3.75336207E-09-2.17921352E-13    2
-6.95349946E+04-2.23503014E+02-4.87112235E+00 1.90151987E-01-1.27393620E-04    3
 4.43967665E-08-6.40109909E-12-5.06540542E+04 6.23314537E+01                   4
C15H31_L  10/ 9/14 THERMC  15H  31    0    0G   300.000  5000.000 1393.000   141
 4.76268635E+01 6.83575048E-02-2.34248865E-05 3.64131569E-09-2.11441653E-13    2
-4.44629006E+04-2.17635673E+02-4.08039053E+00 1.85511084E-01-1.24794704E-04    3
 4.36878245E-08-6.32816399E-12-2.60448400E+04 6.15161757E+01                   4
C15H32    10/ 9/14 THERMC  15H  32    0    0G   300.000  5000.000 1393.000   141
 4.80563000E+01 7.04906133E-02-2.41498334E-05 3.75336207E-09-2.17921352E-13    2
-6.95349946E+04-2.23503014E+02-4.87112235E+00 1.90151987E-01-1.27393620E-04    3
 4.43967665E-08-6.40109909E-12-5.06540542E+04 6.23314537E+01                   4
C15H31_M  10/ 9/14 THERMC  15H  31    0    0G   300.000  5000.000 1391.000   141
 4.73285928E+01 6.81988044E-02-2.32846332E-05 3.61095957E-09-2.09345405E-13    2
-4.57541412E+04-2.16192238E+02-3.88211320E+00 1.81618762E-01-1.17633045E-04    3
 3.87253244E-08-5.15380118E-12-2.73186441E+04 6.10940315E+01                   4
C15H32    10/ 9/14 THERMC  15H  32    0    0G   300.000  5000.000 1393.000   141
 4.80563000E+01 7.04906133E-02-2.41498334E-05 3.75336207E-09-2.17921352E-13    2
-6.95349946E+04-2.23503014E+02-4.87112235E+00 1.90151987E-01-1.27393620E-04    3
 4.43967665E-08-6.40109909E-12-5.06540542E+04 6.23314537E+01                   4
C15H31_N  10/ 9/14 THERMC  15H  31    0    0G   300.000  5000.000 1393.000   141
 4.76268635E+01 6.83575048E-02-2.34248865E-05 3.64131569E-09-2.11441653E-13    2
-4.44629006E+04-2.17635673E+02-4.08039053E+00 1.85511084E-01-1.24794704E-04    3
 4.36878245E-08-6.32816399E-12-2.60448400E+04 6.15161757E+01                   4
C15H30_1  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1393.000   131
 4.68851272E+01 6.66304742E-02-2.27785505E-05 3.53524227E-09-2.05058138E-13    2
-5.40801385E+04-2.15334056E+02-3.93576788E+00 1.82867871E-01-1.24552026E-04    3
 4.42921186E-08-6.52033669E-12-3.61045749E+04 5.86159877E+01                   4
C15H30_2  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1392.000   131
 4.64126719E+01 6.70559685E-02-2.29304943E-05 3.55948297E-09-2.06490297E-13    2
-5.54244535E+04-2.13135694E+02-3.43010186E+00 1.79478599E-01-1.19557377E-04    3
 4.13923899E-08-5.92308082E-12-3.76229931E+04 5.61251121E+01                   4
C15H30_3  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1394.000   131
 4.64769439E+01 6.72408613E-02-2.30451239E-05 3.58250555E-09-2.08033230E-13    2
-5.47200313E+04-2.14060779E+02-5.78730356E+00 1.88319018E-01-1.31108516E-04    3
 4.79585086E-08-7.28798807E-12-3.63678393E+04 6.71563845E+01                   4
C15H30_4  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1394.000   131
 4.64769439E+01 6.72408613E-02-2.30451239E-05 3.58250555E-09-2.08033230E-13    2
-5.47200313E+04-2.14060779E+02-5.78730356E+00 1.88319018E-01-1.31108516E-04    3
 4.79585086E-08-7.28798807E-12-3.63678393E+04 6.71563845E+01                   4
C15H30_5  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1393.000   131
 4.65045364E+01 6.70752169E-02-2.29579113E-05 3.56586864E-09-2.06945541E-13    2
-5.54118091E+04-2.13575128E+02-4.29834220E+00 1.83069810E-01-1.24468380E-04    3
 4.42709983E-08-6.53540851E-12-3.74002005E+04 6.03865754E+01                   4
C15H30_6  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1393.000   131
 4.65045364E+01 6.70752169E-02-2.29579113E-05 3.56586864E-09-2.06945541E-13    2
